latitude,longitude,severity,type,timestamp
12.911454,77.638606,8,Harassment,2024-02-19T17:00:00
28.664063,77.119010,4,Robbery,2024-12-22T07:00:00
17.392626,78.580868,1,Vandalism,2024-12-28T13:00:00
17.291566,78.473984,6,Theft,2024-10-16T20:00:00
28.690370,77.079785,6,Assault,2024-09-27T22:00:00
17.340620,78.482386,6,Vandalism,2024-07-01T08:00:00
28.691337,77.005695,6,Theft,2024-11-04T04:00:00
22.680855,88.391560,3,Robbery,2024-09-23T05:00:00
28.725242,77.126016,6,Robbery,2024-02-09T14:00:00
13.008623,77.577638,4,Burglary,2024-05-04T00:00:00
19.142326,72.785023,6,Theft,2024-05-13T21:00:00
13.133217,80.251108,5,Harassment,2024-10-28T04:00:00
19.090971,72.915174,6,Vandalism,2024-11-01T00:00:00
22.612660,88.325710,6,Vandalism,2024-03-21T19:00:00
28.628369,77.270693,1,Robbery,2024-11-12T13:00:00
17.358463,78.477362,8,Robbery,2024-05-27T08:00:00
22.542393,88.377669,8,Robbery,2024-05-04T04:00:00
13.014170,77.550079,9,Vandalism,2024-06-16T15:00:00
22.486850,88.441356,9,Burglary,2024-12-21T15:00:00
13.072173,80.291736,7,Assault,2024-09-15T14:00:00
17.380548,78.445880,7,Vandalism,2024-03-26T21:00:00
12.981726,77.624326,10,Vandalism,2024-06-27T03:00:00
17.370162,78.410307,7,Burglary,2024-07-27T04:00:00
17.296262,78.432455,9,Theft,2024-04-25T04:00:00
13.047675,80.332073,3,Harassment,2024-04-09T21:00:00
28.714497,77.083486,9,Assault,2024-04-02T22:00:00
13.038088,80.288952,10,Burglary,2024-05-23T09:00:00
19.074200,72.912640,5,Theft,2024-05-19T12:00:00
19.072877,72.799872,10,Burglary,2024-12-04T19:00:00
19.048927,72.838301,6,Harassment,2024-12-10T02:00:00
22.577863,88.336204,3,Harassment,2024-07-20T10:00:00
28.643164,76.983862,4,Theft,2024-03-18T11:00:00
22.565150,88.390219,8,Burglary,2024-06-18T16:00:00
18.508864,73.854195,2,Harassment,2024-02-04T07:00:00
17.394222,78.495376,7,Assault,2024-04-27T18:00:00
18.479565,73.829145,7,Burglary,2024-02-20T23:00:00
18.463607,73.827254,10,Vandalism,2024-08-26T07:00:00
19.037760,72.863728,5,Assault,2024-11-07T05:00:00
12.992831,77.548597,3,Assault,2024-12-14T11:00:00
22.582229,88.371939,3,Harassment,2024-07-23T16:00:00
13.047869,80.257846,8,Harassment,2024-12-21T15:00:00
17.464200,78.480808,7,Burglary,2024-03-10T06:00:00
28.839253,77.060751,10,Assault,2024-11-05T05:00:00
28.593886,77.126892,10,Robbery,2024-03-12T05:00:00
19.041511,72.917937,5,Theft,2024-07-26T00:00:00
19.068997,72.862258,6,Assault,2024-12-15T21:00:00
22.569832,88.343676,8,Burglary,2024-06-20T15:00:00
28.764509,77.180374,9,Harassment,2024-08-04T04:00:00
22.568484,88.329100,8,Harassment,2024-10-17T05:00:00
22.575538,88.308073,9,Harassment,2024-10-13T01:00:00
13.100230,80.204730,10,Harassment,2024-10-18T23:00:00
17.402960,78.560217,2,Harassment,2024-12-28T06:00:00
13.088622,80.244053,5,Robbery,2024-04-09T08:00:00
22.595717,88.347932,9,Theft,2024-01-10T01:00:00
17.394872,78.534712,10,Harassment,2024-03-24T21:00:00
28.679854,77.118513,6,Harassment,2024-12-04T03:00:00
12.998022,77.502473,7,Robbery,2024-06-12T19:00:00
22.537428,88.354475,4,Vandalism,2024-10-22T09:00:00
13.011834,77.669366,9,Burglary,2024-03-13T19:00:00
13.107187,80.188753,1,Robbery,2024-09-15T16:00:00
22.596718,88.377861,9,Robbery,2024-08-03T00:00:00
19.108891,72.830835,9,Assault,2024-05-09T17:00:00
19.077316,72.873968,1,Robbery,2024-10-04T22:00:00
19.014192,72.973777,9,Vandalism,2024-04-03T00:00:00
28.698436,77.147768,10,Theft,2024-03-22T09:00:00
12.971212,77.640822,6,Robbery,2024-04-09T16:00:00
17.388227,78.550557,8,Robbery,2024-04-21T22:00:00
12.953981,77.615716,1,Theft,2024-12-05T01:00:00
13.026817,77.686533,4,Harassment,2024-12-09T14:00:00
17.371660,78.443561,7,Robbery,2024-12-27T19:00:00
22.597867,88.359781,4,Burglary,2024-07-28T15:00:00
22.593791,88.359687,1,Robbery,2024-05-08T12:00:00
22.444616,88.367987,6,Robbery,2024-08-11T20:00:00
28.742643,77.153544,2,Robbery,2024-12-27T19:00:00
13.053272,77.607553,7,Vandalism,2024-06-09T23:00:00
22.545641,88.436611,1,Robbery,2024-07-20T04:00:00
19.093572,72.830946,5,Vandalism,2024-06-17T02:00:00
28.772779,77.194839,8,Burglary,2024-05-26T18:00:00
17.429283,78.472955,9,Assault,2024-01-25T04:00:00
22.582365,88.381366,4,Robbery,2024-02-22T16:00:00
12.899737,77.600645,2,Theft,2024-06-07T22:00:00
19.126107,72.846148,2,Assault,2024-07-15T11:00:00
19.012916,72.927278,9,Theft,2024-09-06T02:00:00
17.408215,78.473705,9,Robbery,2024-05-23T19:00:00
19.141268,72.855993,3,Vandalism,2024-11-13T03:00:00
18.996004,72.979092,4,Burglary,2024-10-16T07:00:00
13.128390,80.268795,3,Vandalism,2024-12-24T03:00:00
13.036467,80.222403,5,Vandalism,2024-07-02T11:00:00
28.646346,77.158381,10,Harassment,2024-12-28T04:00:00
22.590645,88.460658,7,Vandalism,2024-02-13T16:00:00
17.532860,78.469756,1,Harassment,2024-04-01T18:00:00
18.458504,73.826012,3,Burglary,2024-09-27T08:00:00
18.526975,73.927685,6,Vandalism,2024-04-08T07:00:00
17.427427,78.558239,10,Robbery,2024-08-04T01:00:00
28.731684,77.124335,10,Robbery,2024-08-03T02:00:00
18.552582,73.904130,5,Theft,2024-02-27T21:00:00
12.936414,77.562300,10,Theft,2024-11-16T18:00:00
28.830775,77.104996,10,Assault,2024-07-19T04:00:00
22.505071,88.338475,2,Vandalism,2024-10-14T20:00:00
13.002202,80.232989,6,Robbery,2024-02-01T23:00:00
22.571869,88.293923,4,Burglary,2024-03-11T02:00:00
19.093979,72.893231,4,Burglary,2024-10-24T12:00:00
18.489192,73.898856,3,Robbery,2024-05-03T00:00:00
13.000872,80.218243,4,Robbery,2024-11-07T01:00:00
28.731520,77.069679,9,Robbery,2024-01-21T08:00:00
28.517768,76.940298,5,Robbery,2024-12-09T20:00:00
28.696206,77.212294,9,Burglary,2024-08-28T15:00:00
28.642471,77.173232,8,Burglary,2024-09-08T18:00:00
13.167466,80.253205,10,Assault,2024-09-08T09:00:00
12.974557,77.570594,4,Harassment,2024-04-09T15:00:00
17.405470,78.569291,1,Theft,2024-01-17T13:00:00
13.038973,80.169359,6,Theft,2024-03-11T19:00:00
22.623323,88.390940,3,Robbery,2024-11-20T19:00:00
18.500839,73.876970,3,Assault,2024-08-18T08:00:00
22.652445,88.389980,4,Harassment,2024-07-07T17:00:00
17.359029,78.547134,8,Burglary,2024-05-12T00:00:00
13.029325,80.279195,6,Robbery,2024-08-22T16:00:00
17.324248,78.465681,9,Vandalism,2024-12-13T04:00:00
18.487988,73.870256,7,Theft,2024-02-10T11:00:00
22.579220,88.370167,10,Robbery,2024-03-23T09:00:00
